Paragraph,Date
"Page S6813 Reid Amendment No. 4101 (to Amendment No. 4100), of a perfecting nature, fell when Reid motion to concur in the amendment of the House to the amendment of the Senate to the bill, with Reid Amendment No. 4100, was withdrawn. Page S6813 Enrollment of H.R. 3979—Agreement: A unani- mous-consent agreement was reached providing that Senator Levin be authorized to sign the enrollment of H.R. 3979, to authorize appropriations for fiscal year 2015 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year. Page S6819 Saldana Nomination-Cloture: Senate began con- sideration of the nomination of Sarah R. Saldana, of Texas, to be an Assistant Secretary of Homeland Se- curity. Page S6797 A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of Rule XXII of the Standing Rules of the Senate, a vote on cloture will occur on Monday, De- cember 15, 2014. Page S6797 Prior to the consideration of this nomination, Sen- ate took the following action: By 48 yeas to 35 nays (Vote No. 327), Senate agreed to the motion to proceed to Executive Session to consider the nomination.","Dec 13, 2014"
"Colvin Nomination—Cloture: Senate began consid- eration of the nomination of Carolyn Watts Colvin, of Maryland, to be Commissioner of Social Security. Page S6798","Dec 13, 2014"
"A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of Sarah R. Saldana, of Texas, to be an Assistant Secretary of Homeland Security.","Dec 13, 2014"
"Murthy Nomination—Cloture: Senate began con- sideration of the nomination of Vivek Hallegere Murthy, of Massachusetts, to be Medical Director in the Regular Corps of the Public Health Service and to be Surgeon General of the Public Health Service. Page S6799","Dec 13, 2014"
"Pages S6799-6800 A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of Vivek Hallegere Murthy, of Mas- sachusetts, to be Medical Director in the Regular Corps of the Public Health Service and to be Sur- geon General of the Public Health Service. Page S6797","Dec 13, 2014"
"Page S6798 Prior to the consideration of this nomination, Sen- ate took the following action: By 52 yeas to 40 nays (Vote No. 328), Senate agreed to the motion to proceed to Legislative Ses- sion. Page S6797 By 52 yeas to 41 nays (Vote No. 329), Senate agreed to the motion to proceed to Executive Session to consider the nomination. Page S6797","Dec 13, 2014"
"A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of Carolyn Watts Colvin, of Mary- land, to be Commissioner of Social Security.","Dec 13, 2014"
"Page S6799 Prior to the consideration of this nomination, Sen- ate took the following action: By 51 yeas to 41 nays (Vote No. 330), Senate agreed to the motion to proceed to Legislative Ses- sion. Page S6798 By 52 yeas to 40 nays (Vote No. 331), Senate agreed to the motion to proceed to Executive Session to consider the nomination. Pages S6798-99 Blinken Nomination-Cloture: Senate began con- sideration of the nomination of Antony Blinken, of New York, to be Deputy Secretary of State.","Dec 13, 2014"
"Page S6799 Prior to the consideration of this nomination, Sen- ate took the following action: By 52 yeas to 41 nays (Vote No. 332), Senate agreed to the motion to proceed to Legislative Ses- sion. Page S6799 By 52 yeas to 41 nays (Vote No. 333), Senate agreed to the motion to proceed to Executive Session to consider the nomination. Page S6799 Rose Nomination-Cloture: Senate began consider- ation of the nomination of Frank A. Rose, of Massa- chusetts, to be an Assistant Secretary of State (Verification and Compliance). Pages S6800-01 A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of Antony Blinken, of New York, to be Deputy Secretary of State. Page S6800","Dec 13, 2014"
"D1132 CORRECTION CONGRESSIONAL RECORD-DAILY DIGEST Prior to the consideration of this nomination, Sen- ate took the following action: By 52 yeas to 41 nays (Vote No. 334), Senate agreed to the motion to proceed to Legislative Ses- sion. Page S6800 By 52 yeas to 41 nays (Vote No. 335), Senate agreed to the motion to proceed to Executive Session to consider the nomination. Page S6800","Dec 13, 2014"
"Honorable Nomination-Cloture: Senate began consideration of the nomination of Colette Dodson Honorable, of Arkansas, to be a Member of the Fed- eral Energy Regulatory Commission. Page S6801 A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of Frank A. Rose, of Massachusetts, to be an Assistant Secretary of State (Verification and Compliance). Page S6801 Prior to the consideration of this nomination, Sen- ate took the following action: By 50 yeas to 41 nays (Vote No. 337), Senate agreed to the motion to proceed to Executive Session to consider the nomination. Page S6801 Santos Nomination—Cloture: Senate began consid- eration of the nomination of Daniel J. Santos, of Vir- ginia, to be a Member of the Defense Nuclear Facili- ties Safety Board. Page S6802 A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of Colette Dodson Honorable, of Ar- kansas, to be a Member of the Federal Energy Regu- latory Commission. Page S6802 Prior to the consideration of this nomination, Sen- ate took the following action: By 53 yeas to 40 nays (Vote No. 338), Senate agreed to the motion to proceed to Legislative Ses- sion. Page S6801","Dec 13, 2014"
"By 52 yeas to 41 nays (Vote No. 339), Senate agreed to the motion to proceed to Executive Session to consider the nomination.","Dec 13, 2014"
"Page S6802 Lopez Nomination—Cloture: Senate began consid- eration of the nomination of Estevan R. Lopez, of New Mexico, to be Commissioner of Reclamation.","Dec 13, 2014"
"Page S6803 A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of Daniel J. Santos, of Virginia, to be a Member of the Defense Nuclear Facilities Safety Board. Page S6803","Dec 13, 2014"
"December 13, 2014 Prior to the consideration of this nomination, Sen- ate took the following action: By 52 yeas to 42 nays (Vote No. 340), Senate agreed to the motion to proceed to Legislative Ses- sion. Page S6802 By 54 yeas to 42 nays (Vote No. 341), Senate agreed to the motion to proceed to Executive Session to consider the nomination. Page S6802 Jadotte Nomination—Cloture: Senate began con- sideration of the nomination of Marcus Dwayne Jadotte, of Florida, to be an Assistant Secretary of Commerce. Pages S6803-04","Dec 13, 2014"
"A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of Estevan R. Lopez, of New Mexico, to be Commissioner of Reclamation. Page S6803 Prior to the consideration of this nomination, Sen- ate took the following action: By 54 yeas to 42 nays (Vote No. 342), Senate agreed to the motion to proceed to Legislative Ses- sion. Page S6803","Dec 13, 2014"
"By 53 yeas to 42 nays (Vote No. 343), Senate agreed to the motion to proceed to Executive Session to consider the nomination.","Dec 13, 2014"
"Page S6803 Stivers Nomination-Cloture: Senate began con- sideration of the nomination of Jonathan Nicholas Stivers, of the District of Columbia, to be an Assist- ant Administrator of the United States Agency for International Development. Page S6804 A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of Marcus Dwayne Jadotte, of Flor- ida, to be an Assistant Secretary of Commerce.","Dec 13, 2014"
"Page S6804 Prior to the consideration of this nomination, Sen- ate took the following action: By 54 yeas to 42 nays (Vote No. 344), Senate agreed to the motion to proceed to Legislative Ses- sion. Pages S6803-04 By 54 yeas to 42 nays (Vote No. 345), Senate agreed to the motion to proceed to Executive Session to consider the nomination. Page S6804","Dec 13, 2014"
"Cruden Nomination-Cloture: Senate began con- sideration of the nomination of John Charles Cruden, of Virginia, to be an Assistant Attorney General.","Dec 13, 2014"
"Page S6805 A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of Jonathan Nicholas Stivers, of the","Dec 13, 2014"
"CONGRESSIONAL RECORD DAILY DIGEST CORRECTION D1133 ate, a vote on cloture will occur upon disposition of the nomination of Stephen R. Bough, of Missouri, to be United States District Judge for the Western Dis- trict of Missouri. Page S6807 Gilliam Nomination-Cloture: Senate began con- sideration of the nomination of Haywood Stirling Gilliam, Jr., of California, to be United States Dis- trict Judge for the Northern District of California. Page S6807","Dec 13, 2014"
"December 13, 2014 District of Columbia, to be an Assistant Adminis- trator of the United States Agency for International Development. Page S6805 Prior to the consideration of this nomination, Sen- ate took the following action: By 54 yeas to 42 nays (Vote No. 346), Senate agreed to the motion to proceed to Legislative Ses- sion. Page S6804 By 53 yeas to 42 nays (Vote No. 347), Senate agreed to the motion to proceed to Executive Session to consider the nomination.","Dec 13, 2014"
"Page S6805 Smith Nomination-Cloture: Senate began consid- eration of the nomination of Christopher Smith, of Texas, to be Assistant Secretary of Energy for Fossil Energy. Pages S6805-06 A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of John Charles Cruden, of Virginia, to be an Assistant Attorney General. Page S6806 Prior to the consideration of this nomination, Sen- ate took the following action: By 54 yeas to 42 nays (Vote No. 348), Senate agreed to the motion to proceed to Legislative Ses- Page S6805 sion.","Dec 13, 2014"
"By 54 yeas to 42 nays (Vote No. 349), Senate agreed to the motion to proceed to Executive Session to consider the nomination.","Dec 13, 2014"
"Page S6805 Bough Nomination-Cloture: Senate began con- sideration of the nomination of Stephen R. Bough, of Missouri, to be United States District Judge for the Western District of Missouri. Page S6806","Dec 13, 2014"
"A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of Christopher Smith, of Texas, to be Assistant Secretary of Energy for Fossil Energy.","Dec 13, 2014"
"Pages S6806-07 Prior to the consideration of this nomination, Sen- ate took the following action: By 53 yeas to 42 nays (Vote No. 350), Senate agreed to the motion to proceed to Legislative Ses- sion. Page S6806 By 54 yeas to 42 nays (Vote No. 351), Senate agreed to the motion to proceed to Executive Session to consider the nomination.","Dec 13, 2014"
"Page S6806 Alonso Nomination-Cloture: Senate began con- sideration of the nomination of Jorge Luis Alonso, of Illinois, to be United States District Judge for the Northern District of Illinois. Page S6807 A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen-","Dec 13, 2014"
"A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of Jorge Luis Alonso, of Illinois, to be United States District Judge for the Northern District of Illinois. Page S6807 Mehta Nomination—Cloture: Senate began consid- eration of the nomination of Amit Priyavadan Mehta, of the District of Columbia, to be United States District Judge for the District of Columbia. Page S6807","Dec 13, 2014"
"A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of Haywood Stirling Gilliam, Jr., of California, to be United States District Judge for the Northern District of California. Page S6807 Burroughs Nomination-Cloture: Senate began consideration of the nomination of Allison Dale Bur- roughs, of Massachusetts, to be United States Dis- trict Judge for the District of Massachusetts.","Dec 13, 2014"
"Pages S6807-08 A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of Amit Priyavadan Mehta, of the District of Columbia, to be United States District Judge for the District of Columbia. Pages S6807-08 Blakey Nomination-Cloture: Senate began con- sideration of the nomination of John Robert Blakey, of Illinois, to be United States District Judge for the Northern District of Illinois. Page S6808","Dec 13, 2014"
"A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of Allison Dale Burroughs, of Massa- chusetts, to be United States District Judge for the District of Massachusetts. Page S6808 Mazzant Nomination-Cloture: Senate began con- sideration of the nomination of Amos L. Mazzant, III,","Dec 13, 2014"
"D1134 CORRECTION CONGRESSIONAL RECORD DAILY DIGEST of Texas, to be United States District Judge for the Eastern District of Texas. Page S6808 A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of John Robert Blakey, of Illinois, to be United States District Judge for the Northern District of Illinois. Page S6808 Pitman Nomination-Cloture: Senate began con- sideration of the nomination of Robert Lee Pitman, of Texas, to be United States District Judge for the Western District of Texas. Page S6808","Dec 13, 2014"
"A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of Amos L. Mazzant, III, of Texas, to be United States District Judge for the Eastern District of Texas. Page S6808","Dec 13, 2014"
"Schroeder Nomination-Cloture: Senate began consideration of the nomination of Robert William Schroeder III, of Texas, to be United States District Judge for the Eastern District of Texas. Page S6808 A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of Robert Lee Pitman, of Texas, to be United States District Judge for the Western Dis- trict of Texas. Page S6808 Azrack Nomination-Cloture: Senate began con- sideration of the nomination of Joan Marie Azrack, of New York, to be United States District Judge for the Eastern District of New York. Page S6809","Dec 13, 2014"
"A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of Robert William Schroeder III, of Texas, to be United States District Judge for the Eastern District of Texas. Page S6809 Dillon Nomination-Cloture: Senate began consid- eration of the nomination of Elizabeth K. Dillon, of Virginia, to be United States District Judge for the Western District of Virginia. Page S6809","Dec 13, 2014"
"A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of Joan Marie Azrack, of New York, to be United States District Judge for the Eastern District of New York. Page S6809","Dec 13, 2014"
"December 13, 2014 Biggs Nomination Cloture: Senate began consid- eration of the nomination of Loretta Copeland Biggs, of North Carolina, to be United States District Judge for the Middle District of North Carolina.","Dec 13, 2014"
"Page S6809 A motion was entered to close further debate on the nomination, and, in accordance with the provi- sions of rule XXII of the Standing Rules of the Sen- ate, a vote on cloture will occur upon disposition of the nomination of Elizabeth K. Dillon, of Virginia, to be United States District Judge for the Western District of Virginia. Page S6809 Nominations Agreement: A unanimous-consent- time agreement was reached providing that notwith- standing rule XXII, at approximately 10 a.m., on Monday, December 15, 2014, Senate will resume consideration of the nominations of Vivek Hallegere Murthy, of Massachusetts, to be Medical Director in the Regular Corps of the Public Health Service and to be Surgeon General of the Public Health Service, Daniel J. Santos, of Virginia, to be a Member of the Defense Nuclear Facilities Safety Board, Frank A. Rose, of Massachusetts, to be an Assistant Secretary of State (Verification and Compliance), Sarah R. Saldana, of Texas, to be an Assistant Secretary of Homeland Security, and Antony Blinken, of New York, to be Deputy Secretary of State; that at 4:30 p.m., there be one hour equally divided in the usual form on the nomination of Vivek Hallegere Murthy, of Massachusetts, to be Medical Director in the Reg- ular Corps of the Public Health Service and to be Surgeon General of the Public Health Service, and at 5:30 p.m., Senate vote on the motion to invoke clo- ture on the nomination of Vivek Hallegere Murthy, of Massachusetts, to be Medical Director in the Reg- ular Corps of the Public Health Service and to be Surgeon General of the Public Health Service; that if cloture is invoked, all post-cloture time be ex- pired, and Senate vote on confirmation of the nomi- nation; following disposition of the nomination, Sen- ate vote on the motions to invoke cloture on the nominations of Daniel J. Santos, of Virginia, to be a Member of the Defense Nuclear Facilities Safety Board, and Frank A. Rose, of Massachusetts, to be an Assistant Secretary of State (Verification and Compliance), and that if cloture is invoked, on Tues- day, December 16, 2014, following Leader remarks, all post-cloture time be expired and Senate vote on confirmation of the nominations in the order listed; provided further, at 2:30 p.m., Senate vote on the motion to invoke cloture on the nomination of Sarah R. Saldana, of Texas, to be an Assistant Secretary of Homeland Security; that if cloture is invoked, all post-cloture time on the nomination be expired and Senate vote on confirmation of the nomination; pro- vided further, at 5 p.m., the time until 6 p.m., be","Dec 13, 2014"
"December 13, 2014 equally divided in the usual form, and at 6 p.m., Senate vote on the motion to invoke cloture on the nomination of Antony Blinken, of New York, to be Deputy Secretary of State; that if cloture is invoked, all post-cloture time be expired and Senate vote on confirmation of the nomination; and that no further motions be in order to the nomination.","Dec 13, 2014"
CONGRESSIONAL RECORD DAILY DIGEST CORRECTION,"Dec 13, 2014"
Pages S6817-18 Nominations Confirmed: Senate confirmed the fol- lowing nominations: 8 Coast Guard nominations in the rank of admi- ral.,"Dec 13, 2014"
Routine lists in the Coast Guard.,"Dec 13, 2014"
"Pages S6818-19, S6820 Page S6817 Page S6817","Dec 13, 2014"
Messages from the House: Additional Cosponsors: Statements on Introduced Bills/Resolutions:,"Dec 13, 2014"
"Chamber Action The House was not in session today. The House is scheduled to meet at 12 noon on Tuesday, Decem- ber 16, 2014, unless it sooner has received a message from the Senate transmitting its concurrence in H. Con. Res. 125, in which case the House shall stand adjourned pursuant to that concurrent resolution.","Dec 13, 2014"
Committee Meetings No hearings were held.,"Dec 13, 2014"
Additional Statements: Amendments Submitted:,"Dec 13, 2014"
Joint Meetings No joint committee meetings were held.,"Dec 13, 2014"
Record Votes: Twenty-eight record taken today. (Total—354),"Dec 13, 2014"
House of Representatives,"Dec 13, 2014"
Committee Meetings (Committees not listed did not meet) No committee meetings were held.,"Dec 13, 2014"
"Pages S6797-S6806, S6809-10, S6813-14 Adjournment: Senate convened at 12 p.m. and ad- journed at 11:42 p.m., until 10 a.m. on Monday, December 15, 2014. (For Senate's program, see the remarks of the Acting Majority Leader in today's Record on page S6819.)","Dec 13, 2014"
D1135,"Dec 13, 2014"
Page S6817 votes were,"Dec 13, 2014"
House No hearings are scheduled.,"Dec 13, 2014"
"COMMITTEE MEETINGS FOR MONDAY, DECEMBER 15, 2014 (Committee meetings are open unless otherwise indicated) Senate No meetings/hearings scheduled.","Dec 13, 2014"
D1136,"Dec 13, 2014"
CONGRESSIONAL RECORD DAILY DIGEST,"Dec 13, 2014"
"Next Meeting of the SENATE 10 a.m., Monday, December 15","Dec 13, 2014"
"Senate Chamber Program for Monday: Senate will resume consideration of the nominations of Vivek Hallegere Murthy, of Massa- chusetts, to be Medical Director in the Regular Corps of the Public Health Service and to be Surgeon General of the Public Health Service, Daniel J. Santos, of Virginia, to be a Member of the Defense Nuclear Facilities Safety Board, Frank A. Rose, of Massachusetts, to be an Assist- ant Secretary of State (Verification and Compliance), Sarah R. Saldana, of Texas, to be an Assistant Secretary of Homeland Security, and Antony Blinken, of New York, to be Deputy Secretary of State. At 5:30 p.m., Senate will vote on the motion to invoke cloture on the nomination of Vivek Hallegere Murthy, of Massachusetts, to be Medical Director in the Regular Corps of the Public Health Service and to be Surgeon General of the Public Health Service, and if cloture is in- voked, vote on confirmation of the nomination, to be fol- lowed by votes on the motions to invoke cloture on the nominations of Daniel J. Santos, of Virginia, to be a Member of the Defense Nuclear Facilities Safety Board, and Frank A. Rose, of Massachusetts, to be an Assistant Secretary of State (Verification and Compliance).","Dec 13, 2014"
"December 13, 2014","Dec 13, 2014"
"Next Meeting of the HOUSE OF REPRESENTATIVES 12 noon, Tuesday, December 16","Dec 13, 2014"
House Chamber Program for Tuesday: To be announced.,"Dec 13, 2014"
"Congressional Record The Congressional Record (USPS 087–390). The Periodicals postage is paid at Washington, D.C. The public proceedings of each House of Congress, as reported by the Official Reporters thereof, are printed pursuant to directions of the Joint Committee on Printing as authorized by appropriate provisions of Title 44, United States Code, and published for each day that one or both Houses are in session, excepting very infrequent instances when two or more unusually small consecutive issues are printed one time. ¶Public access to the Congressional Record is available online through the U.S. Government Printing Office, at www.fdsys.gov, free of charge to the user. The information is updated online each day the Congressional Record is published. For more information, contact the GPO Customer Contact Center, U.S. Government Printing Office. Phone 202-512-1800, or 866-512-1800 (toll-free). E-Mail, contactcenter@gpo.gov. To place an order for any of these products, visit the U.S. Government Online Bookstore at: bookstore.gpo.gov. Mail orders to: Superintendent of Documents, P.O. Box 979050, St. Louis, MO 63197-9000, or phone orders to 866-512-1800 (toll-free), 202-512-1800 (D.C. area), or fax to 202-512-2104. Remit check or money order, made payable to the Superintendent of Documents, or use VISA, MasterCard, Discover, American Express, or GPO Deposit Account. ¶Following each session of Congress, the daily Congressional Record is revised, printed, permanently bound and sold by the Superintendent of Documents in individual parts or by sets. With the exception of copyrighted articles, there are no restrictions on the republication of material from the Congressional Record.","Dec 13, 2014"
"POSTMASTER: Send address changes to the Superintendent of Documents, Congressional Record, U.S. Government Printing Office, Washington, D.C. 20402, along with the entire mailing label from the last issue received.","Dec 13, 2014"
"Friday, December 12, 2014","Dec 12, 2014"
HIGHLIGHTS,"Dec 12, 2014"
Daily Digest,"Dec 12, 2014"
"Senate agreed to the motion to concur in the amendment of the House of Representatives to the amendment of the Senate to H.R. 3979, Carl Levin and Howard P. ""Buck"" McKeon National Defense Authorization Act. Senate","Dec 12, 2014"
"Chamber Action Routine Proceedings, pages S6699–S6794 Measures Introduced: Nine bills and two resolu- tions were introduced, as follows: S. 3009-3017, and S. Res. 600-601. Page S6788","Dec 12, 2014"
"Measures Reported: Special Report entitled ""Further Revised Alloca- tion to Subcommittees of Budget Totals for Fiscal Year 2015"". (S. Rept. No. 113–312) S. 2055, to allow for the collection of certain user fees by non-Federal entities, with amendments. (S. Rept. No. 113-309)","Dec 12, 2014"
"Report to accompany S. 1014, to reduce sports-re- lated concussions in youth. (S. Rept. No. 113–310)","Dec 12, 2014"
"Report to accompany S. 2581, to require the Con- sumer Product Safety Commission to promulgate a rule to require child safety packaging for liquid nic- otine containers. (S. Rept. No. 113–311)","Dec 12, 2014"
"Report to accompany S. 2922, to reinstate report- ing requirements related to United States-Hong Kong relations. (S. Rept. No. 113-313)","Dec 12, 2014"
"Report to accompany S. 2482, to implement the Convention on the Conservation and Management of the High Seas Fisheries Resources in the North Pa- cific Ocean, as adopted at Tokyo on February 24, 2012. (S. Rept. No. 113–314) Report to accompany S. 2484, to implement the Convention on the Conservation and Management of the High Seas Fishery Resources in the South Pacific Ocean, as adopted at Auckland on November 14, 2009. (S. Rept. No. 113-315)","Dec 12, 2014"
"Report to accompany S. 2485, to implement the Amendment to the Convention on Future Multilat- eral Cooperation in the Northwest Atlantic Fisheries, as adopted at Lisbon on September 28, 2007. (S. Rept. No. 113-316) D1124","Dec 12, 2014"
"Report to accompany S. 2442, to direct the Sec- retary of the Interior to take certain land and min- eral rights on the reservation of the Northern Chey- enne Tribe of Montana and other culturally impor- tant land into trust for the benefit of the Northern Cheyenne Tril (S. Rept. No. 113–317) Report to accompany S. 2140, to improve the transition between experimental permits and com- mercial licenses for commercial reusable launch vehi- cles. (S. Rept. No. 113-318) Report to accompany S. 429, to enable concrete masonry products manufacturers to establish, finance, and carry out a coordinated program of research, education, and promotion to improve, maintain, and develop markets for concrete masonry products. (S. Rept. No. 113-319)","Dec 12, 2014"
"Report to accompany S. 2022, to establish sci- entific standards and protocols across foren dis ciplines. (S. Rept. No. 113-320)","Dec 12, 2014"
"Report to accompany S. 2777, to establish the Surface Transportation Board as an independent es- tablishment. (S. Rept. No. 113-321) Report to accompany S. 2799, to extend the au- thority of satellite carriers to retransmit certain tele- vision broadcast station signals. (S. Rept. No. 113-322) Page S6788 Measures Passed:","Dec 12, 2014"
"Enrollment Correction: Senate agreed to H. Con. Res. 121, providing for a correction in the enroll- ment of the bill H.R. 3979. Page S6739","Dec 12, 2014"
"Enrollment Correction: Senate agreed to H. Con. Res. 123, directing the Clerk of the House of Rep- resentatives to make a correction in the enrollment of the bill H.R. 3979. Page S6739 House Messages: Carl Levin and Howard P. ""Buck"" McKeon Na- tional Defense Authorization Act: By 89 yeas to 11","Dec 12, 2014"
CONGRESSIONAL RECORD DAILY DIGEST CORRECTION D1125,"Dec 12, 2014"
"December 12, 2014 nays (Vote No. 325), Senate agreed to the motion to concur in the amendment of the House of Rep- resentatives to the amendment of the Senate to H.R. 3979, to authorize appropriations for fiscal year 2015 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military per- sonnel strengths for such fiscal year, by the order of the Senate of December 11, 2014, 60 Senators hav- ing voted in the affirmative, after taking action on the following motions and amendments proposed thereto: Pages S6701-39","Dec 12, 2014"
"Rejected: By 18 yeas to 82 nays (Vote No. 323), Coburn Motion to refer the message of the House on the bill to the Committee on Armed Services, with instruc- tions to report back forthwith with changes to strike Title XXX, the nondefense-related lands portion of the bill. (A unanimous-consent agreement was reached providing that the motion, having failed to achieve 60 affirmative votes, the motion was not agreed to.) Page S6738 Withdrawn:","Dec 12, 2014"
"Reid motion to concur in the amendment of the House to the amendment of the Senate to the bill, with Reid Amendment No. 3984 (to the amend- ment of the House to the amendment of the Senate to the bill), to change the enactment date.","Dec 12, 2014"
"Page S6738 During consideration of this measure today, Senate also took the following action: By 55 yeas to 44 nays (Vote No. 324), Senate sus- tained the ruling of the Chair that under precedent set by the Senate on October 6, 2011, such a motion is dilatory post-cloture and not in order. Subse- quently, Senator Coburn motion to suspend Rule XXII for the purpose of proposing an amendment was rejected. Page S6738","Dec 12, 2014"
"Reid Amendment No. 3985 (to Amendment No. 3984), of a perfecting nature, fell when Reid motion to concur in the amendment of the House to the amendment of the Senate to the bill, with Reid Amendment No. 3984, was withdrawn. Page S6738 Consolidated and Further Continuing Appropria- tions Act Agreement: Senate began consideration of the amendment of the House of Representatives to the amendment of the Senate to H.R. 83, to re- quire the Secretary of the Interior to assemble a team of technical, policy, and financial experts to address the energy needs of the insular areas of the United States and the Freely Associated States through the development of energy action plans aimed at pro- moting access to affordable, reliable energy, includ- ing increasing use of indigenous clean-energy re- sources, taking action on the following motions and amendments proposed thereto: Pages S6740-67","Dec 12, 2014"
"Pending: Reid motion to concur in the amendment of the House to the amendment of the Senate to the bill. Pages S6740-41 Reid motion to concur in the amendment of the House to the amendment of the Senate to the bill, with Reid Amendment No. 4100 (to the amend- ment of the House to the amendment of the Senate to the bill), to change the enactment date.","Dec 12, 2014"
"Page S6741 Reid Amendment No. 4101 (to Amendment No. 4100), of a perfecting nature. Page S6741 Reid motion to refer the message of the House on the bill to the Committee on Appropriations, with instructions, Reid Amendment No. 4102, to change the enactment date. Page S6741 Reid Amendment No. 4103 (to (the instructions) Amendment No. 4102), of a perfecting nature.","Dec 12, 2014"
"Page S6741 Reid Amendment No. 4104 (to Amendment No. 4103), of a perfecting nature. Page S6741 A motion was entered to close further debate on the motion to concur in the amendment of the House to the amendment of the Senate to the bill, and, in accordance with the provisions of rule XXII of the Standing Rules of the Senate, a vote on clo- ture will occur on Sunday, December 14, 2014.","Dec 12, 2014"
"Page S6741 A unanimous-consent agreement was reached pro- viding for further consideration of the motion to concur in the amendment of the House to the amendment of the Senate to the bill, at approxi- mately 12 noon, on Saturday, December 13, 2014. Page S6794 Nominations Confirmed: Senate confirmed the fol- lowing nominations: Mark Gilbert, of Florida, to be Ambassador to New Zealand, and to serve concurrently and without additional compensation as Ambassador to the Inde- pendent State of Samoa. Pages S6739-40, S6794 Robert C. Barber, of Massachusetts, to be Ambas- sador to the Republic of Iceland.","Dec 12, 2014"
"Pages S6739-40, S6794 By 62 yeas 35 nays (Vote No. EX. 326), David Nathan Saperstein, of the District of Columbia, to be Ambassador at Large for International Religious Freedom. Pages S6739-40, S6794 Amy Jane Hyatt, of California, to be Ambassador to the Republic of Palau. Pages S6739-40, S6794 Virginia E. Palmer, of Virginia, to be Ambassador to the Republic of Malawi. Pages S6739-40, S6794 Donald L. Heflin, of Virginia, to be Ambassador to the Republic of Cabo Verde. Pages S6739-40, S6794 Arnold A. Chacon, of Virginia, to be Director General of the Foreign Service. Pages S6739-40, S6794","Dec 12, 2014"
"D1126 CORRECTION CONGRESSIONAL RECORD-DAILY DIGEST Michael W. Kempner, of New Jersey, to be a Member of the Broadcasting Board of Governors for a term expiring August 13, 2015.","Dec 12, 2014"
